Li,Ni,Co,Mn,O,Si,Ti,Al,mp_id,formula,energy_above_hull
0.75,0.1875,0.375,0.1875,1.5,0,0,0,mp-1222609,Li4MnCo2NiO8,0.085682999
0.75,0.1875,0.375,0.1875,1.5,0,0,0,mp-1222625,Li4MnCo2NiO8,0.096986003
0.75,0.1875,0.375,0.1875,1.5,0,0,0,mp-1222664,Li4MnCo2NiO8,0.144397117
0.75,0.25,0.25,0.25,1.5,0,0,0,mp-1222510,Li3MnCoNiO6,0.049061167
0.75,0.1875,0.375,0.1875,1.5,0,0,0,mp-1222620,Li4MnCo2NiO8,0.081678972
0.75,0.3,0.15,0.3,1.5,0,0,0,mp-1222667,Li5Mn2Co(NiO5)2,0.037646789
0.428571429,0.214285714,0.321428571,0.321428571,1.714285714,0,0,0,mp-758046,Li4Mn3Co3(NiO8)2,0.118424849
0.882352941,0.264705882,0.176470588,0.264705882,1.411764706,0,0,0,mp-778315,Li10Mn3Co2Ni3O16,0.093707227
0.428571429,0.321428571,0.321428571,0.214285714,1.714285714,0,0,0,mp-776416,Li4Mn2Co3Ni3O16,0.092763579
0.428571429,0.321428571,0.214285714,0.321428571,1.714285714,0,0,0,mp-867541,Li4Mn3Co2Ni3O16,0.086652514
0.75,0.625,0.0625,0.0625,1.5,0,0,0,mp-1120802,Li12MnCo(Ni5O12)2,0.019513328
